timestamp,F1,F2,F3,F4,F5,F6,F7,F8,CLEAR,NIR
00:00:02.275,58,91,131,178,0,0,0,0,665,179
00:00:02.394,45,70,92,136,183,211,217,215,633,158
00:00:02.514,41,52,80,115,140,164,175,154,677,182
00:00:02.634,40,47,77,105,128,155,162,144,705,196
00:00:02.754,40,47,77,105,112,140,149,132,705,196
00:00:02.874,37,42,71,98,107,132,141,128,686,198
00:00:02.993,33,38,65,91,94,112,130,111,625,181
00:00:03.112,30,37,59,90,94,112,130,111,504,151
00:00:03.231,33,46,73,105,108,120,147,121,477,146
00:00:03.350,32,44,69,103,119,127,157,134,439,136
00:00:03.470,32,44,69,103,108,116,147,118,439,136
00:00:03.590,28,39,59,94,105,111,143,112,383,122
00:00:03.710,27,38,60,93,109,112,145,116,371,118
00:00:03.830,27,39,60,93,109,112,145,116,350,112
00:00:03.949,26,39,61,93,108,107,142,112,321,106
00:00:04.068,28,41,65,97,112,111,147,117,335,108
00:00:04.187,28,41,65,97,117,116,152,124,335,108
00:00:04.306,29,43,69,100,118,117,153,125,351,112
00:00:04.426,29,43,68,100,118,117,154,126,351,112
00:00:04.546,30,44,69,101,120,119,156,129,352,112
00:00:04.666,31,45,71,103,120,119,156,129,354,112
00:00:04.786,31,46,72,104,121,120,158,131,362,114
00:00:04.905,31,45,70,103,121,121,158,131,361,114
00:00:05.024,31,45,70,103,118,118,155,127,361,114
00:00:05.143,29,43,67,100,116,115,151,123,353,112
00:00:05.262,28,42,65,98,114,113,149,120,347,111
00:00:05.382,28,41,64,96,114,113,149,120,339,110
00:00:05.502,27,41,64,97,113,112,148,118,329,108
00:00:05.622,28,43,68,100,116,114,151,122,321,106
00:00:05.742,28,43,68,100,119,116,154,124,321,106
00:00:05.861,28,42,65,98,116,114,151,120,317,104
00:00:05.980,27,42,65,98,118,116,153,123,311,103
00:00:06.099,28,42,66,99,118,116,153,123,314,103
00:00:06.218,27,40,63,96,116,114,150,120,306,102
00:00:06.338,26,40,63,95,114,111,148,117,307,102
00:00:06.458,25,37,57,89,110,108,144,113,291,100
00:00:06.578,25,37,57,89,103,101,135,104,291,100
00:00:06.698,24,36,56,84,100,99,131,102,280,98
00:00:06.817,23,35,54,81,98,97,129,100,272,99
00:00:06.936,24,35,54,82,98,97,129,100,283,99
00:00:07.055,25,36,54,85,100,100,132,103,312,105
00:00:07.174,25,35,52,84,99,101,133,103,333,111
00:00:07.294,25,35,52,84,97,101,130,102,333,111
00:00:07.414,25,34,51,82,96,101,129,102,345,114
00:00:07.534,26,35,52,85,98,104,133,104,363,117
00:00:07.654,26,35,53,86,98,104,133,104,371,119
00:00:07.773,26,36,53,86,98,105,133,105,375,120
00:00:07.892,26,35,53,85,99,105,133,105,378,120
00:00:08.011,26,35,53,85,97,104,131,104,378,120
00:00:08.130,26,35,53,85,97,104,132,104,382,121
00:00:08.250,26,35,52,85,97,104,131,104,389,123
00:00:08.370,26,35,53,85,98,105,132,105,391,123
00:00:08.490,26,35,54,86,98,105,132,105,396,124
00:00:08.610,27,35,53,85,98,105,132,105,401,125
00:00:08.729,27,35,53,85,97,105,132,105,404,126
00:00:08.848,27,35,53,85,97,105,131,105,404,126
00:00:08.967,26,35,53,85,97,104,132,105,403,126
00:00:09.086,26,35,53,85,97,104,131,105,402,125
00:00:09.206,26,35,53,84,97,104,131,105,402,125
00:00:09.326,26,35,53,84,96,104,130,104,403,126
00:00:09.446,26,35,53,84,96,104,130,104,403,126
00:00:09.566,26,35,53,84,96,103,130,104,403,126
00:00:09.685,26,35,52,83,96,103,130,104,402,125
00:00:09.804,26,35,52,84,96,104,130,104,402,125
00:00:09.923,26,35,53,84,96,104,130,104,406,127
00:00:10.042,26,35,52,84,96,104,130,104,408,127
00:00:10.162,26,35,52,84,96,104,130,104,409,128
00:00:10.282,26,35,52,84,95,104,129,104,409,128
00:00:10.402,26,35,52,83,95,104,129,104,409,128
00:00:10.522,26,35,52,84,96,104,130,105,412,128
00:00:10.641,27,35,53,84,96,104,130,105,414,129
00:00:10.760,27,35,53,84,96,104,130,105,414,129
00:00:10.879,27,35,53,84,95,104,130,105,416,129
00:00:10.998,27,35,53,84,95,105,130,105,418,130
00:00:11.118,27,35,53,84,96,105,131,105,418,130
00:00:11.238,27,35,53,85,97,106,132,106,423,131
00:00:11.358,27,35,54,85,96,106,132,106,423,131
00:00:11.478,27,35,54,85,96,106,132,106,424,131
00:00:11.597,27,35,54,85,96,106,131,106,427,132
00:00:11.716,27,35,54,85,96,106,131,106,426,132
00:00:11.835,27,35,54,85,96,106,131,106,426,132
00:00:11.954,27,35,54,85,96,106,131,106,427,132
00:00:12.074,27,35,54,85,96,106,131,106,429,133
00:00:12.194,27,35,54,85,96,106,131,106,429,133
00:00:12.314,27,35,54,85,96,106,131,106,429,133
00:00:12.434,27,35,54,85,96,106,131,106,430,133
00:00:12.553,27,35,54,85,96,106,131,106,432,133
00:00:12.672,27,35,54,85,96,106,131,106,432,133
00:00:12.791,27,35,54,85,96,106,131,106,432,133
00:00:12.910,27,35,54,85,96,106,131,106,433,134
00:00:13.030,27,35,54,85,96,106,131,106,434,134
00:00:13.150,27,35,54,85,96,106,131,106,434,134
00:00:13.270,27,35,54,85,96,106,132,106,435,134
00:00:13.390,27,35,54,85,96,106,131,106,435,134
00:00:13.509,27,35,54,85,96,106,131,106,435,134
00:00:13.628,27,35,54,85,96,106,131,106,436,134
00:00:13.747,27,35,54,85,96,106,131,106,437,135
00:00:13.866,27,35,54,85,96,106,131,106,438,135
00:00:13.986,27,35,54,85,96,106,131,106,439,135
00:00:14.106,27,35,54,85,96,106,131,106,439,135
00:00:14.226,27,35,54,85,96,107,131,106,440,135
00:00:14.346,27,35,54,85,96,107,131,106,441,135
00:00:14.465,27,35,54,85,96,106,131,106,440,135
00:00:14.584,27,35,54,85,96,106,131,106,440,135
00:00:14.703,27,35,54,85,96,106,131,106,441,136
00:00:14.822,27,35,54,85,96,106,131,106,442,136
00:00:14.942,27,35,54,85,96,107,131,107,442,136
00:00:15.062,28,36,54,86,96,107,132,107,444,136
00:00:15.182,28,35,54,85,96,107,132,107,442,136
00:00:15.302,28,35,54,85,96,107,132,107,444,136
00:00:15.421,28,35,54,86,96,107,132,107,445,136
00:00:15.540,28,35,54,86,96,107,132,107,445,136
00:00:15.659,28,35,54,86,96,107,132,107,445,136
00:00:15.778,28,35,55,86,96,107,132,107,446,137
00:00:15.898,28,36,55,86,96,107,132,107,447,137
00:00:16.018,28,36,55,86,96,107,132,107,447,137
00:00:16.138,28,36,55,86,96,107,132,107,448,137
00:00:16.258,28,35,55,86,96,107,132,107,449,137
00:00:16.377,28,35,55,86,96,107,132,107,449,138
00:00:16.496,28,35,55,86,96,107,132,107,449,138
00:00:16.615,28,36,55,86,96,107,132,107,450,138
00:00:16.734,28,36,55,86,96,108,132,108,451,138
00:00:16.854,28,36,55,86,96,108,132,108,452,139
00:00:16.974,28,36,55,86,96,108,132,108,453,138
00:00:17.094,28,36,55,86,96,108,132,107,454,139
00:00:17.214,28,36,55,86,96,108,132,107,454,139
00:00:17.333,28,36,55,86,96,108,132,108,453,139
00:00:17.452,28,36,55,86,96,108,132,107,453,139
00:00:17.571,28,36,54,86,96,108,132,107,453,138
00:00:17.690,28,36,55,86,96,108,132,107,452,139
00:00:17.810,28,36,55,86,96,108,132,107,452,138
00:00:17.930,28,36,55,86,96,108,132,107,452,138
00:00:18.050,28,36,55,86,96,108,132,108,453,139
00:00:18.170,28,36,55,86,96,108,132,108,454,139
00:00:18.289,28,36,55,86,96,108,132,108,455,140
00:00:18.408,28,36,55,86,96,108,132,108,455,140
00:00:18.527,28,36,55,86,96,108,132,108,455,140
00:00:18.646,28,36,55,86,96,108,133,108,457,140
00:00:18.766,28,36,55,86,96,108,132,108,457,140
00:00:18.886,28,36,55,86,96,108,132,108,457,140
00:00:19.006,28,36,55,86,96,108,133,108,458,141
00:00:19.126,28,36,55,86,96,108,133,108,457,140
00:00:19.245,28,36,55,86,96,108,132,108,455,139
00:00:19.364,28,36,55,86,96,108,132,107,450,138
00:00:19.483,28,36,55,86,96,108,132,107,450,138
00:00:19.602,28,36,55,86,96,108,132,108,453,139
00:00:19.722,28,36,55,86,96,108,132,108,456,139
00:00:19.842,28,36,55,86,96,108,132,108,456,139
00:00:19.962,28,36,55,86,96,108,132,108,458,140
00:00:20.082,28,36,55,86,96,108,132,108,458,140
00:00:20.201,28,36,55,86,96,108,132,108,458,140
00:00:20.320,28,36,55,86,96,108,133,108,458,140
00:00:20.439,28,36,56,86,96,109,133,108,461,140
00:00:20.558,28,36,55,86,96,109,133,108,461,140
00:00:20.678,28,36,55,86,96,109,133,108,461,140
00:00:20.798,28,36,55,86,96,109,133,108,463,141
00:00:20.918,28,36,56,86,96,109,133,108,466,141
00:00:21.038,28,36,56,86,96,109,133,108,466,141
00:00:21.157,28,36,56,86,96,109,133,108,469,142
00:00:21.276,28,36,56,86,96,109,132,108,467,142
